,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kodiak,1,US,1575590709,57,39.95,-94.76,10.0,2.1
1,Freetown,40,BS,1575590745,72,26.61,-78.36,19.0,1.5
2,Nanortalik,100,GL,1575590687,59,60.14,-45.24,-1.08,3.83
3,Cabo San Lucas,20,MX,1575590745,73,22.89,-109.91,26.0,2.6
4,Torbay,90,CA,1575590720,94,47.66,-52.73,2.22,6.7
5,Carutapera,45,BR,1575590674,77,-1.2,-46.02,27.68,8.17
6,Ampanihy,93,MG,1575590746,75,-24.69,44.75,19.18,5.89
7,Puerto Ayora,75,EC,1575590746,61,-0.74,-90.35,26.0,8.7
8,Rikitea,68,PF,1575590746,78,-23.12,-134.97,25.78,4.31
9,Vanimo,100,PG,1575590746,81,-2.67,141.3,26.98,5.2
10,Bredasdorp,0,ZA,1575590746,87,-34.53,20.04,14.0,1.31
11,Punta Arenas,75,CL,1575590398,53,-53.16,-70.91,11.0,11.3
12,Ushuaia,75,AR,1575590688,75,-54.81,-68.31,7.0,16.5
13,Awbari,97,LY,1575590688,23,26.59,12.77,17.7,3.34
14,Busselton,67,AU,1575590688,18,-33.64,115.35,31.11,5.3
15,Lavrentiya,100,RU,1575590688,84,65.58,-170.99,-10.96,8.06
16,Atuona,18,PF,1575590540,72,-9.8,-139.03,26.96,7.09
17,Carnarvon,88,ZA,1575590689,75,-30.97,22.13,16.17,4.91
18,Jalu,0,LY,1575590689,43,29.03,21.55,14.45,2.62
19,Hegra,75,NO,1575590689,86,63.46,11.11,2.0,9.3
20,Yellowknife,20,CA,1575590426,75,62.45,-114.38,-26.67,2.6
21,Saskylakh,22,RU,1575590689,99,71.97,114.09,-37.09,1.01
22,Nikolskoye,75,RU,1575590674,75,59.7,30.79,6.11,9.0
23,Hamilton,90,CA,1575590689,74,43.26,-79.87,1.11,3.6
24,Port Blair,40,IN,1575590689,69,11.67,92.75,26.65,9.33
25,Muravlenko,96,RU,1575590689,95,63.79,74.5,-15.14,6.8
26,Vaini,11,IN,1575590689,89,15.34,74.49,18.34,4.07
27,Coquimbo,20,CL,1575590689,72,-29.95,-71.34,16.0,4.6
28,Udachnyy,24,RU,1575590690,65,66.42,112.4,-39.0,1.0
29,Ayagoz,100,KZ,1575590690,67,47.96,80.43,-1.35,5.8
30,Jamestown,0,AU,1575590690,26,-33.21,138.6,21.79,3.73
31,Pundaguitan,87,PH,1575590690,79,6.37,126.17,27.59,2.91
32,Chuy,31,UY,1575590690,75,-33.69,-53.46,14.67,2.96
33,Bathsheba,40,BB,1575590675,69,13.22,-59.52,28.0,7.7
34,Adolfo Lopez Mateos,98,MX,1575590690,56,26.8,-109.39,25.0,2.24
35,Sitka,54,US,1575590690,62,37.17,-99.65,9.44,4.28
36,Talcahuano,0,CL,1575590690,59,-36.72,-73.12,18.0,8.7
37,Cooma,83,AU,1575590691,10,-36.24,149.13,21.0,8.2
38,Mataura,100,NZ,1575590691,48,-46.19,168.86,18.74,6.3
39,Cap Malheureux,20,MU,1575590691,94,-19.98,57.61,24.44,2.1
40,Hilo,90,US,1575590681,73,19.71,-155.08,24.0,2.29
41,Lebu,81,ET,1575590691,89,8.96,38.73,11.31,0.35
42,Antalaha,63,MG,1575590691,79,-14.9,50.28,25.59,7.04
43,Merauke,100,ID,1575590691,60,-8.49,140.4,31.1,2.57
44,Tabou,95,CI,1575590691,93,4.42,-7.36,24.56,1.95
45,Ribeira Grande,96,PT,1575590691,78,38.52,-28.7,14.4,1.51
46,Chokurdakh,75,RU,1575590691,90,70.62,147.9,-24.84,6.4
47,Cape Town,0,ZA,1575590671,43,-33.93,18.42,22.0,3.6
48,Bluff,0,AU,1575590692,38,-23.58,149.07,32.35,3.42
49,Pevek,0,RU,1575590692,86,69.7,170.27,-19.22,0.72
50,Lata,0,IN,1575590692,6,30.78,78.62,-5.9,3.42
51,Grand Gaube,20,MU,1575590692,94,-20.01,57.66,24.44,2.1
52,Salalah,75,OM,1575590692,57,17.01,54.1,26.0,9.8
53,Mahebourg,20,MU,1575590692,94,-20.41,57.7,24.44,2.1
54,Vestmannaeyjar,100,IS,1575590692,67,63.44,-20.27,0.66,8.27
55,Mnogovershinnyy,82,RU,1575590692,92,53.94,139.92,-19.88,4.79
56,Creston,90,CA,1575590693,96,49.1,-116.52,2.22,0.76
57,Davidson,8,CA,1575590693,90,51.26,-105.98,-6.11,1.79
58,Hermanus,0,ZA,1575590693,52,-34.42,19.24,20.0,0.89
59,Albany,90,US,1575590693,68,42.65,-73.75,0.56,3.6
60,Upata,66,VE,1575590693,97,8.02,-62.41,22.08,1.75
61,New Norfolk,75,AU,1575590684,50,-42.78,147.06,13.89,12.3
62,Mar del Plata,50,AR,1575590693,31,-46.43,-67.52,20.21,7.28
63,Port Lincoln,4,AU,1575590693,58,-34.72,135.86,16.92,4.21
64,Georgetown,20,GY,1575590518,88,6.8,-58.16,26.0,2.1
65,Lugo,52,ES,1575590693,1,43.01,-7.56,6.11,0.51
66,Butaritari,100,KI,1575590693,86,3.07,172.79,25.6,3.62
67,Koumac,90,NC,1575590693,56,-20.56,164.28,27.31,0.53
68,Praia da Vitoria,20,PT,1575590694,82,38.73,-27.07,13.33,1.34
69,Timmins,90,CA,1575590419,78,48.48,-81.33,-8.0,3.6
70,Prince Rupert,20,CA,1575590694,100,54.32,-130.32,2.0,2.6
71,Pangkalanbuun,100,ID,1575590407,89,-2.68,111.62,25.75,0.79
72,Longyearbyen,75,NO,1575590694,68,78.22,15.63,-2.0,13.4
73,Sola,64,TZ,1575590694,82,-3.17,33.8,18.73,0.59
74,Rawson,32,AR,1575590694,68,-43.3,-65.11,14.46,0.06
75,Kapaa,40,US,1575590666,58,22.08,-159.32,28.0,3.6
76,Cherskiy,30,RU,1575590694,65,68.75,161.3,-16.88,4.31
77,Port Elizabeth,1,US,1575590694,59,39.31,-74.98,7.0,2.1
78,Yanagawa,75,JP,1575590695,70,33.16,130.41,7.0,1.0
79,Den Helder,75,NL,1575590478,93,52.96,4.76,9.0,12.9
80,Talnakh,75,RU,1575590695,92,69.49,88.39,-11.0,14.0
81,Ulaangom,74,MN,1575590665,93,49.98,92.07,-18.88,1.42
82,Russell,75,US,1575590695,53,38.9,-98.86,11.0,2.6
83,Peraiyur,75,IN,1575590695,88,9.74,77.79,24.0,4.6
84,Castro,100,CL,1575590673,62,-42.48,-73.76,15.0,6.7
85,Qaanaaq,90,GL,1575590539,67,77.48,-69.36,-18.67,3.31
86,Nieuw Amsterdam,75,SR,1575590695,88,5.88,-55.08,26.0,5.1
87,Katherine,8,AU,1575590695,31,-14.47,132.26,33.0,4.1
88,Vilhena,100,BR,1575590696,88,-12.74,-60.15,24.0,2.6
89,Avarua,0,CK,1575590694,69,-21.21,-159.78,28.0,7.2
90,Luxor,0,EG,1575590696,58,25.7,32.65,14.0,3.23
91,Vostok,62,RU,1575590696,93,46.45,135.83,-24.04,2.52
92,Marovoay,20,MG,1575590696,78,-16.11,46.64,28.0,1.5
93,Petropavlovsk-Kamchatskiy,96,RU,1575590696,85,53.05,158.65,-12.0,2.0
94,Ostrovnoy,100,RU,1575590696,94,68.05,39.51,-7.13,3.97
95,Araouane,84,ML,1575590696,24,18.9,-3.53,21.3,2.33
96,Port Hedland,7,AU,1575590696,70,-20.31,118.58,31.0,5.7
97,Hobart,75,AU,1575590482,50,-42.88,147.33,13.89,12.3
98,Chumikan,55,RU,1575590696,76,54.72,135.31,-18.59,7.73
99,Yarkovo,90,RU,1575590696,95,54.81,82.6,0.0,7.0
100,La Chapelle-sur-Erdre,90,FR,1575590697,100,47.3,-1.55,3.0,1.0
101,Acari,40,BR,1575590697,65,-6.44,-36.64,22.41,10.34
102,Willowmore,0,ZA,1575590697,56,-33.3,23.49,16.23,2.99
103,Barrow,68,AR,1575590697,43,-38.31,-60.23,16.09,2.34
104,Bratsk,75,RU,1575590697,85,56.15,101.63,-10.0,4.0
105,San Cristobal,51,HN,1575590697,82,14.68,-86.92,19.37,2.08
106,Portland,90,US,1575590649,69,43.66,-70.25,3.0,5.1
107,Narsaq,70,GL,1575590697,40,60.91,-46.05,-8.0,2.57
108,Brae,100,GB,1575590697,81,60.4,-1.35,6.0,4.6
109,Saiha,44,IN,1575590697,58,22.49,92.98,10.02,1.95
110,Severiano Melo,68,BR,1575590697,70,-5.78,-37.96,22.84,3.71
111,Masallatah,0,LY,1575590698,70,32.62,14.0,12.75,0.3
112,Mount Gambier,90,AU,1575590658,82,-37.83,140.78,13.0,6.2
113,Bilma,0,NE,1575590698,20,18.69,12.92,19.96,2.98
114,Saint-Leu,20,RE,1575590698,83,-21.15,55.28,24.0,2.1
115,Dubbo,14,AU,1575590698,21,-32.25,148.6,29.0,5.7
116,Hithadhoo,100,MV,1575590617,80,-0.6,73.08,27.66,2.68
117,Isangel,75,VU,1575590698,94,-19.55,169.27,27.0,2.6
118,Mahesana,40,IN,1575590698,46,23.6,72.39,21.0,3.1
119,Port Alfred,0,ZA,1575590699,86,-33.59,26.89,16.11,0.89
120,Kimbe,43,PG,1575590699,47,-5.56,150.15,32.81,0.49
121,Totness,1,US,1575590699,42,33.74,-80.8,12.0,0.9
122,Labuhan,97,ID,1575590699,79,-2.54,115.51,26.8,0.79
123,Aswan,33,EG,1575590699,38,24.09,32.9,16.0,4.1
124,Geraldton,90,CA,1575590699,92,49.72,-86.95,-9.0,2.1
125,Kidal,16,ML,1575590699,14,18.44,1.41,21.75,4.54
126,Saint-Philippe,90,CA,1575590696,73,45.36,-73.48,-3.33,7.7
127,Dunedin,100,NZ,1575590573,62,-45.87,170.5,16.75,5.26
128,Airai,5,TL,1575590700,41,-8.93,125.41,27.2,1.48
129,Dikson,100,RU,1575590675,94,73.51,80.55,-19.14,6.9
130,Verkhnevilyuysk,38,RU,1575590700,94,63.45,120.31,-39.69,3.17
131,Bulawayo,38,ZW,1575590700,78,-20.16,28.59,17.04,6.46
132,Margate,75,AU,1575590700,50,-43.03,147.26,13.89,12.3
133,Nabire,99,ID,1575590700,66,-3.36,135.5,29.5,0.43
134,Bereda,75,ES,1575590700,100,43.27,-7.54,12.22,0.5
135,Rio Grande,16,BR,1575590700,75,-32.03,-52.1,18.05,6.83
136,Souillac,90,FR,1575590700,100,45.6,-0.6,3.0,1.0
137,Bhaderwah,0,IN,1575590700,33,32.98,75.72,1.56,3.04
138,Fortuna,90,US,1575590701,59,40.6,-124.16,17.0,5.7
139,Mount Isa,65,AU,1575590701,7,-20.73,139.49,36.0,5.7
140,Haines Junction,96,CA,1575590701,97,60.75,-137.51,-17.27,1.98
141,Provideniya,75,RU,1575590701,73,64.42,-173.23,-7.0,9.0
142,Batemans Bay,100,AU,1575590701,23,-35.71,150.18,25.0,2.31
143,Smila,0,UA,1575590701,81,49.23,31.88,-1.82,4.08
144,Necochea,28,AR,1575590701,6,-38.55,-58.74,16.67,2.68
145,Srednekolymsk,96,RU,1575590696,87,67.46,153.71,-20.47,6.68
